SITE_ID,day_group,year,LATITUDE_x,LONGITUDE_x,srad_mean,tmmn_mean,tmmx_mean,vpd_mean,Fpar_500m_mean,Lai_500m_mean,ee_elevation_mean,elevation_diff_mean,water_mean_mean,trees_mean_mean,grass_mean_mean,flooded_vegetation_mean_mean,crops_mean_mean,shrub_and_scrub_mean_mean,built_mean_mean,bare_mean_mean,snow_and_ice_mean_mean,label_mean_mean,label_argmax_numeric_mean,GPP_mean,GPP_sum
US-Ro5,20,2019,44.691,-93.0576,271.2500019125,285.7374992375,296.8500022875,0.92875000085,57.44825731375,14.65684165375,283.4477213,0.447721300000012,0.06493410167,0.03499270895,0.1054239964,0.02957476556,0.5049760572,0.04097341203,0.05002122822,0.1078840999,0.06118121444,4.597727746,4.0,0.0,0.0
US-Ro5,20,2020,44.691,-93.0576,281.26249695,287.7000007625,299.974998475,1.1337499768,62.815189332500005,17.06959982625,283.4477213,0.447721300000012,0.03971006413,0.07458389361,0.1265975085,0.02721220372,0.5456690534,0.04284408717,0.04212680069,0.06134103981,0.03987631013,3.933486734,4.0,0.0,0.0
US-Ro5,20,2021,44.691,-93.0576,299.7249946625,290.6625022875,305.662498475,1.794999987125,59.871450085,15.742254735,283.4477213,0.447721300000012,0.03458014088,0.04485126984,0.09333828456,0.02939715302,0.6250023981,0.03705147163,0.03581493669,0.06119258332,0.03873424249,4.0,4.0,0.0,0.0
US-Ro5,21,2017,44.691,-93.0576,246.1750049625,286.3375053375,297.9249992375,0.8799999971625,54.49913941625,13.76462994625,283.4477213,0.447721300000012,0.03340051039,0.06122138652,0.09889372306,0.02977435751,0.626162686,0.03220672863,0.03804124724,0.04381369589,0.03644822817,4.0,4.0,0.0,0.0
US-Ro5,21,2018,44.691,-93.0576,201.07500075625,290.2124939,299.8750038125,0.81250001865,53.40942341,12.9977409675,283.4477213,0.447721300000012,0.04684766721,0.1425011642,0.08523099082,0.0281304886,0.5333043814,0.03157548196,0.04413836505,0.0478515608,0.04038113383,3.751918505,4.0,392.072693009625,3136.581544077
US-Ro5,21,2019,44.691,-93.0576,250.774997725,287.67500305,296.8374977125,0.7500000000375,57.7178356275,14.80185026,283.4477213,0.447721300000012,0.06493410167,0.03499270895,0.1054239964,0.02957476556,0.5049760572,0.04097341203,0.05002122822,0.1078840999,0.06118121444,4.597727746,4.0,0.0,0.0
US-Ro5,21,2020,44.691,-93.0576,257.6874999875,289.9249992375,301.5874939,1.203749992,56.616932015,15.6983648875,283.4477213,0.447721300000012,0.03971006413,0.07458389361,0.1265975085,0.02721220372,0.5456690534,0.04284408717,0.04212680069,0.06134103981,0.03987631013,3.933486734,4.0,0.0,0.0
US-Ro5,21,2021,44.691,-93.0576,270.8875007625,287.2000007625,300.650001525,1.3137499987875,68.834444925,21.0485154925,283.4477213,0.447721300000012,0.03458014088,0.04485126984,0.09333828456,0.02939715302,0.6250023981,0.03705147163,0.03581493669,0.06119258332,0.03873424249,4.0,4.0,0.0,0.0
US-Ro5,22,2017,44.691,-93.0576,272.9499988625,286.3125,296.900001525,0.8724999950000001,63.14285714125,16.740748704999998,283.4477213,0.447721300000012,0.03340051039,0.06122138652,0.09889372306,0.02977435751,0.626162686,0.03220672863,0.03804124724,0.04381369589,0.03644822817,4.0,4.0,0.0,0.0
US-Ro5,22,2018,44.691,-93.0576,254.9250030625,291.23750305,301.0375022875,0.95000000295,63.6223106725,18.07368760875,283.4477213,0.447721300000012,0.04684766721,0.1425011642,0.08523099082,0.0281304886,0.5333043814,0.03157548196,0.04413836505,0.0478515608,0.04038113383,3.751918505,4.0,662.932977892375,5303.463823139
US-Ro5,22,2019,44.691,-93.0576,261.7249984875,290.1625022875,300.17500305,0.818750001575,62.59939759125,16.647697935,283.4477213,0.447721300000012,0.06493410167,0.03499270895,0.1054239964,0.02957476556,0.5049760572,0.04097341203,0.05002122822,0.1078840999,0.06118121444,4.597727746,4.0,0.0,0.0
US-Ro5,22,2020,44.691,-93.0576,255.1999988625,289.1000022875,301.337501525,1.0662499871,64.0479776275,17.5668029225,283.4477213,0.447721300000012,0.03971006413,0.07458389361,0.1265975085,0.02721220372,0.5456690534,0.04284408717,0.04212680069,0.06134103981,0.03987631013,3.933486734,4.0,0.0,0.0
US-Ro5,22,2021,44.691,-93.0576,256.3499965625,289.9749946625,301.625,1.21625000225,71.15221601,22.7564543925,283.4477213,0.447721300000012,0.03458014088,0.04485126984,0.09333828456,0.02939715302,0.6250023981,0.03705147163,0.03581493669,0.06119258332,0.03873424249,4.0,4.0,0.0,0.0
US-Ro5,23,2017,44.691,-93.0576,300.7249946625,289.3250007625,302.4375038125,1.027499981125,69.59810671125,21.47181583125,283.4477213,0.447721300000012,0.03340051039,0.06122138652,0.09889372306,0.02977435751,0.626162686,0.03220672863,0.03804124724,0.04381369589,0.03644822817,4.0,4.0,0.0,0.0
US-Ro5,23,2018,44.691,-93.0576,300.537498475,291.05000305,302.4500007625,0.9749999867375,72.76914801875,23.81895439125,283.4477213,0.447721300000012,0.04684766721,0.1425011642,0.08523099082,0.0281304886,0.5333043814,0.03157548196,0.04413836505,0.0478515608,0.04038113383,3.751918505,4.0,826.93872566275,6615.509805302
