,SITE_ID,LULC,LATITUDE,LONGITUDE,ELEVATION
232,US-ONA,GRA,27.3836,-81.9509,25.0
233,US-ORv,WET,40.0201,-83.0183,221.0
234,US-OWC,WET,41.3795,-82.5125,174.0
235,US-PAS,GRA,27.3944,-81.951,27.1
236,US-PFa,MF,45.9459,-90.2723,470.0
237,US-PFb,ENF,45.972,-90.3232,474.0
238,US-PFc,DBF,45.9677,-90.3088,473.0
239,US-PFd,WET,45.9689,-90.301,473.0
240,US-PFe,WAT,45.9793,-90.3004,480.0
241,US-PFf,GRA,45.9458,-90.2944,464.0
242,US-PFg,ENF,45.9735,-90.2723,475.0
243,US-PFh,ENF,45.9557,-90.2406,463.0
244,US-PFi,DBF,45.9749,-90.2327,488.0
245,US-PFj,DBF,45.9619,-90.227,484.0
246,US-PFk,DBF,45.9149,-90.3425,476.0
247,US-PFL,DBF,45.9409,-90.3177,464.0
248,US-PFm,DBF,45.9207,-90.3099,484.0
249,US-PFn,DBF,45.9392,-90.2823,478.0
250,US-PFo,WAT,45.9229,-90.2728,476.0
251,US-PFp,DBF,45.9365,-90.2641,497.0
252,US-PFq,DBF,45.9271,-90.2475,473.0
253,US-PFr,WET,45.9245,-90.2475,490.0
254,US-PFs,DBF,45.9381,-90.2382,489.0
255,US-PFt,ENF,45.9197,-90.2288,466.0
256,US-PHM,WET,42.7423,-70.8301,1.4
257,US-PiU,WET,26.0004,-80.9261,3.04
258,US-PLM,WET,42.7345,-70.8382,1.0
259,US-Pnp,WAT,43.0896,-89.4158,260.0
260,US-Prr,ENF,65.1237,-147.4876,210.0
261,US-PSH,DBF,36.2347,-119.9247,70.0
262,US-PSL,DBF,36.8276,-120.1397,65.0
263,US-RGA,CRO,34.4121,-91.6752,61.0
264,US-RGB,CRO,39.5771,-121.867,33.0
265,US-RGG,CRO,39.5944,-122.0253,36.0
266,US-RGo,CRO,39.6769,-122.0052,40.0
267,US-RGW,CRO,33.6183,-91.4355,41.0
268,US-Rls,CSH,43.1439,-116.7356,1608.0
269,US-Rms,CSH,43.0645,-116.7486,2111.0
270,US-Ro1,CRO,44.7143,-93.0898,275.0
271,US-Ro1,CRO,44.7143,-93.0898,275.0
272,US-Ro2,CRO,44.7288,-93.0888,292.0
273,US-Ro3,CRO,44.7217,-93.0893,260.0
274,US-Ro4,GRA,44.6781,-93.0723,274.0
275,US-Ro5,CRO,44.691,-93.0576,283.0
276,US-Ro6,CRO,44.6946,-93.0578,282.0
277,US-Rpf,DBF,65.1198,-147.429,497.0
278,US-RRC,WET,37.3344,-77.2065,0.1
279,US-Rwe,CSH,43.0653,-116.7591,2098.0
280,US-Rwf,CSH,43.1207,-116.7231,1878.0
281,US-Rws,OSH,43.1675,-116.7132,1425.0
282,US-SdH,GRA,42.0693,-101.4072,1081.0
283,US-Seg,GRA,34.3623,-106.70195,1609.0
284,US-Seg,GRA,34.3623,-106.70195,1609.0
285,US-Ses,OSH,34.3349,-106.7442,1598.5
286,US-Ses,OSH,34.3349,-106.7442,1598.5
287,US-Slt,DBF,39.9138,-74.596,30.0
288,US-Snd,GRA,38.0366,-121.754,-5.0
289,US-Sne,GRA,38.0369,-121.7547,-5.0
290,US-Snf,GRA,38.0402,-121.7272,-4.0
291,US-SP1,ENF,29.7381,-82.2188,50.0
292,US-SP2,ENF,29.7648,-82.2448,50.0
293,US-SP3,ENF,29.7548,-82.1633,50.0
294,US-SP4,ENF,29.8028,-82.2031,47.0
295,US-SRC,OSH,31.9083,-110.8395,950.0
296,US-SRG,GRA,31.7894,-110.8277,1291.0
297,US-SRM,WSA,31.8214,-110.8661,1120.0
298,US-Srr,WET,38.2006,-122.0264,8.0
299,US-SRS,WSA,31.8173,-110.8508,1169.0
300,US-SSH,DBF,40.6658,-77.9041,310.0
301,US-StJ,WET,39.0882,-75.4372,6.7
302,US-StS,WET,33.3302,-79.2492,0.0
303,US-SuM,CRO,20.7981,-156.454,21.0
304,US-SuS,CRO,20.7847,-156.4039,203.0
305,US-SuW,CRO,20.8246,-156.4913,44.0
306,US-Syv,MF,46.242,-89.3477,540.0
307,US-TCS,WET,25.8221,-81.1017,1.2
308,US-Ton,WSA,38.4309,-120.966,177.0
309,US-TrB,WAT,46.0412,-89.6862,499.0
310,US-TrS,WAT,46.0034,-89.7053,495.0
311,US-Tur,GRA,45.5571,-111.2286,1530.0
312,US-Tw1,WET,38.1074,-121.6469,-5.0
313,US-Tw2,CRO,38.1008,-121.6399,-5.0
314,US-Tw3,CRO,38.11515,-121.6468,-4.0
315,US-Tw4,WET,38.1027,-121.6413,-5.0
316,US-Tw5,WET,38.1072,-121.6426,-5.0
317,US-Twt,CRO,38.10763333333333,-121.65276666666666,-7.0
318,US-Uaf,ENF,64.8663,-147.8555,155.0
319,US-UC1,CVM,40.7536,-78.0056,390.0
320,US-UC2,CVM,40.7559,-77.9998,396.0
321,US-UiA,CRO,40.0646,-88.1961,224.0
322,US-UiB,CRO,40.0628,-88.1984,224.0
323,US-UiC,GRA,40.0647,-88.1983,224.0
324,US-UiD,GRA,40.0646,-88.1985,224.0
325,US-UiE,CRO,40.0629,-88.2033,217.0
326,US-UM3,WAT,45.5686,-84.6707,234.0
327,US-UMB,DBF,45.5598,-84.7138,234.0
328,US-UMd,DBF,45.5625,-84.6975,239.0
329,US-UTB,BSV,40.7848,-113.8299,1287.0
330,US-UTW,CRO,39.4453,-110.7288,1682.0
