SITE_ID,START_DATE,END_DATE,water_mean,trees_mean,grass_mean,flooded_vegetation_mean,crops_mean,shrub_and_scrub_mean,built_mean,bare_mean,snow_and_ice_mean,label_mean,EXTENDED_END_DATE
US-Bi1,2016-6-1,2016-8-31,0.02868803389,0.04602144912,0.1875522759,0.0355111093,0.5486675974,0.03821819125,0.03506347346,0.04266143754,0.03757841196,3.900082559,
US-Me6,2020-9-1,2020-11-30,0.02876917827,0.5628155681,0.02211119662,0.03419736204,0.03014229972,0.2018225772,0.05427701719,0.03676602066,0.02906084784,1,
US-SRG,2017-9-1,2017-11-30,0.02878242969,0.07871447115,0.04793835137,0.02716247178,0.1923507639,0.4344157933,0.04133527184,0.1115610571,0.03769887937,4.942032379,
US-Me6,2018-9-1,2018-11-30,0.02878286417,0.4945311771,0.03319215298,0.02970337993,0.03723855387,0.2730909018,0.03116400485,0.04553712386,0.02672178722,1.414804076,
US-LL1,2016-3-2,2016-5-31,0.02883533272,0.7076253198,0.04402276117,0.02231654099,0.03939264465,0.05890635838,0.03414374946,0.03138066862,0.03334241757,1,
US-Tw1,2019-6-1,2019-8-31,0.02885145418,0.3427190106,0.07268411213,0.04380518066,0.1748761323,0.2226035974,0.03656348348,0.03753461792,0.04032192035,2.653162023,
US-WCr,2021-6-1,2021-8-31,0.02891674591,0.6932344786,0.04292578433,0.03403568848,0.05445727905,0.042518486,0.03420448596,0.03550921405,0.03416171378,1.102586751,
US-Me6,2016-9-1,2016-11-30,0.02899207683,0.3902232104,0.0293051355,0.0304237094,0.03794937902,0.3777028815,0.03402025071,0.04781993226,0.02352497616,3.131629321,
US-SRG,2021-9-1,2021-11-30,0.0289923429,0.221211718,0.1010649073,0.03423200506,0.04625908042,0.4195590447,0.03163563384,0.0800658505,0.03693959057,4.308487606,
US-CdM,2018-12-1,2019-3-1,0.02901070727,0.1172887591,0.03481530838,0.02848879006,0.03928482399,0.557853396,0.03686053957,0.1125071122,0.04385170539,5,
US-Syv,2021-6-1,2021-8-31,0.02910081065,0.7297631713,0.03691207996,0.02751119603,0.03108018029,0.04183646913,0.03349487578,0.03766832101,0.03259769722,1,
US-Ton,2018-3-2,2018-5-31,0.02914596968,0.5720496011,0.04681834407,0.02179340903,0.04304461624,0.185429892,0.029780379,0.0410277559,0.03087220576,1,
US-Los,2020-6-1,2020-8-31,0.02920276114,0.5053136365,0.2143731954,0.03750773017,0.03956182769,0.0759959965,0.03183336291,0.02805372234,0.03812035604,1.290208111,
US-Ton,2020-3-2,2020-5-31,0.02920954087,0.5941174238,0.04188462037,0.02066884006,0.04052297018,0.1722382366,0.03131337398,0.03988889436,0.03011863591,1.025956416,
US-EML,2019-6-1,2019-8-31,0.02931246674,0.1086248937,0.4939676673,0.03898184616,0.0357630489,0.1735186024,0.03358141863,0.05249796768,0.03371266093,2,
US-Ro2,2016-3-2,2016-5-31,0.02931721215,0.03375434147,0.3391810083,0.04408070528,0.4255580333,0.02676159247,0.03833656376,0.02579635237,0.03717624641,4,
US-LL2,2016-3-2,2016-5-31,0.02938280761,0.6695535739,0.04719418393,0.02739413514,0.03528146439,0.05245514405,0.06399232405,0.03262921258,0.04208051575,1,
US-UMd,2016-6-1,2016-8-31,0.02940753915,0.7325477478,0.03755375012,0.02550866279,0.03293850257,0.04141704861,0.03280217725,0.03600557306,0.03178355211,1,
US-Snf,2020-3-2,2020-5-31,0.02944130511,0.06261109381,0.3665263826,0.04519119165,0.2490620156,0.08715037235,0.07949056894,0.04567852115,0.03480782933,2.767541724,
US-Ton,2016-3-2,2016-5-31,0.02945248076,0.5737478016,0.04196504394,0.02634491965,0.05719435439,0.1685049384,0.03838104011,0.0321181684,0.03225364824,1,
US-Ton,2016-9-1,2016-11-30,0.0296229134,0.4320881417,0.04138986134,0.02686773,0.04007332771,0.3019234537,0.03473975168,0.05511725965,0.03813767,2.016456086,
US-CMW,2020-6-1,2020-8-31,0.02962929078,0.6102712229,0.04420857383,0.02944702068,0.05217346678,0.1314985254,0.03668364237,0.03107963947,0.03497095312,1,
US-Los,2018-6-1,2018-8-31,0.0297397641,0.6356685183,0.1177528717,0.033803242,0.04191325614,0.05207190468,0.02668560451,0.02907009621,0.03325813993,1.015456662,
US-LL1,2017-6-1,2017-8-31,0.02977403676,0.7379681817,0.03363901164,0.0264528057,0.03293505127,0.04855795268,0.03135075242,0.02796803317,0.03131977731,1,
US-CMW,2017-6-1,2017-8-31,0.02981403626,0.6001270278,0.04602868697,0.02978317645,0.06529368979,0.1121661547,0.05216992353,0.03153314826,0.03304701724,1.403343456,
US-Los,2016-6-1,2016-8-31,0.02982217642,0.7109604462,0.06683713673,0.03132200429,0.04033758275,0.03548631622,0.02282876413,0.0285718145,0.03379869055,1,
US-KFS,2017-6-1,2017-8-31,0.02984963533,0.05774150047,0.5837218134,0.0363444013,0.06891936611,0.1312609459,0.03383740464,0.02407056186,0.03421682853,2,
US-LL2,2017-3-2,2017-5-31,0.02992408668,0.6596120085,0.03445451677,0.02555776516,0.03766538596,0.1043489625,0.04047345881,0.03549264046,0.0324346998,1,
US-Me6,2017-9-1,2017-11-30,0.02998233434,0.5808347599,0.03249896329,0.02679861329,0.03264311253,0.2022906724,0.03110463044,0.03812762509,0.02568258098,1,
US-Bi1,2019-9-1,2019-11-30,0.02999308292,0.06282355824,0.3364611843,0.0388524813,0.3834155375,0.04046834501,0.04060890486,0.02599412498,0.04134447774,3.187387473,
US-Var,2020-6-1,2020-8-31,0.03000749168,0.05020627875,0.09089592692,0.02732913718,0.06815541983,0.5456069364,0.03082200533,0.123033102,0.03390435629,5,
US-SRG,2021-12-1,2022-3-1,0.03014815782,0.1392375478,0.03278124361,0.03349240916,0.04877868461,0.5011917666,0.04295468231,0.1340438449,0.03733258172,5,
US-ICh,2020-6-1,2020-8-31,0.03028165193,0.06242740123,0.4070271579,0.04074205329,0.03990098506,0.2468597334,0.04081708747,0.09682642492,0.035077469,2.512578741,
US-LL3,2016-6-1,2016-8-31,0.03034281999,0.6034927591,0.04948659997,0.0267015921,0.0448700434,0.1573475691,0.02710595325,0.03074948542,0.02986516523,1,
US-BZF,2021-6-1,2021-8-31,0.03037363757,0.08916704413,0.4604169676,0.05493616554,0.03732480751,0.2283744957,0.03516421817,0.03138736688,0.03281588026,2.656799837,
US-SRG,2016-3-2,2016-5-31,0.03040830557,0.03190891003,0.07953780079,0.02979358256,0.07613041287,0.4170814515,0.03309111896,0.268034511,0.0339738053,5,
US-Var,2021-3-2,2021-5-31,0.03044178843,0.263624638,0.1368116039,0.02472743903,0.06147579572,0.3308165318,0.03428613958,0.08225558524,0.03552122733,2.874539345,
US-Snf,2019-3-2,2019-5-31,0.03047544639,0.0594115181,0.4279253235,0.05920612916,0.2022095939,0.08127228711,0.07089009426,0.03454527795,0.03402338791,2.150774713,
US-Var,2018-12-1,2019-3-1,0.0304818085,0.07855772485,0.4639591129,0.02564892617,0.08382418589,0.1953039866,0.03380909573,0.05003713165,0.03833818505,2.013613243,
US-Ton,2019-3-2,2019-5-31,0.03051219664,0.4843222601,0.04817219479,0.02360743964,0.04665215488,0.2606229795,0.03442301875,0.04114143898,0.03050780348,1.86289334,
US-Ton,2017-6-1,2017-8-31,0.03051992205,0.4164798892,0.02965803279,0.02222953851,0.03988808829,0.3280165254,0.03563607843,0.05973773401,0.03779552425,1.898754127,
US-Snf,2018-3-2,2018-5-31,0.03053690648,0.05524323226,0.4232102945,0.05283618555,0.2211694041,0.08030036957,0.06685350284,0.03300383526,0.03680598986,2.215380642,
US-SRG,2018-9-1,2018-11-30,0.03054133533,0.2608106815,0.08069377,0.03145952427,0.07310493798,0.3742825554,0.02788612829,0.0813278489,0.03985273347,4.70123215,
US-Ton,2021-9-1,2021-11-30,0.03055552196,0.3539632969,0.04712692535,0.02403933355,0.04351947643,0.3435866467,0.03596766791,0.08475705286,0.03644448268,2.937787365,
US-LL1,2019-6-1,2019-8-31,0.03061666434,0.6132056507,0.04455291724,0.02909107693,0.04552326188,0.1329258287,0.03966900605,0.03283579084,0.03154281951,1.057261725,
US-SRG,2019-6-1,2019-8-31,0.03073421655,0.0782047604,0.1208263201,0.0328936473,0.1387288912,0.3667023574,0.04041872847,0.1507778889,0.04067215954,4.541770731,
US-Los,2017-6-1,2017-8-31,0.03074940687,0.6913225365,0.07758116985,0.03269690235,0.04194783306,0.03667850736,0.02678811662,0.02865956263,0.03353976261,1,
