	SITE_ID	day_group	year	LATITUDE_x	LONGITUDE_x	srad_mean	tmmn_mean	tmmx_mean	vpd_mean	Fpar_500m_mean	Lai_500m_mean	ee_elevation_mean	elevation_diff_mean	water_mean_mean	trees_mean_mean	grass_mean_mean	flooded_vegetation_mean_mean	crops_mean_mean	shrub_and_scrub_mean_mean	built_mean_mean	bare_mean_mean	snow_and_ice_mean_mean	label_mean_mean	label_argmax_numeric_mean	GPP_mean	GPP_sum
3217	US-Ne2	15	2016	41.1649	-96.4701	220.050808615	280.447176775	291.0814527625	0.69415322515125	38.25937499875	7.944612068625	356.035136	5.964863999999977	0.05040120963	0.02863386127	0.1061711255	0.04512169717	0.2912099067	0.1237990361	0.03516596087	0.2722508507	0.04720446925	5.266416385	4.0	0.0	0.0
3218	US-Ne2	15	2017	41.1649	-96.4701	243.6959679625	279.716126325	292.5875009125	0.92806451925	32.17769396875	6.301400861625	356.035136	5.964863999999977	0.04581457425	0.02958376431	0.06517121165	0.02826613258	0.6077576666	0.0400121135	0.02934059564	0.1119697711	0.04204657165	4.0	4.0	0.0	0.0
3219	US-Ne2	15	2018	41.1649	-96.4701	254.76572190000002	284.207254225	298.5391108375	1.1526209691875	23.97241379375	4.285021551875	356.035136	5.964863999999977	0.04551037997	0.02858618465	0.05693006703	0.03012973591	0.4365549331	0.07009694839	0.03269986046	0.2552040936	0.04424871604	4.948056564	4.0	0.0	0.0
3220	US-Ne2	15	2019	41.1649	-96.4701	231.3592729875	280.0403232	292.8516140375	0.6656854872125	26.4907327575	4.740409482875	356.035136	5.964863999999977	0.06986549264	0.02906634072	0.08965855292	0.07372793416	0.4111556321	0.05396170606	0.0321580136	0.1294934076	0.1108728522	4.375050962	4.0	0.0	0.0
3221	US-Ne2	15	2020	41.1649	-96.4701	221.55685822375	283.3258053875	295.9528247625	1.0856048298375	23.69019396625	3.92898706875	356.035136	5.964863999999977	0.05405354624	0.02645118113	0.05894332546	0.0334697547	0.368329128	0.05905434251	0.03556870426	0.2632211344	0.1008695722	5.624270966	4.0	0.0	0.0
3222	US-Ne2	15	2021	41.1649	-96.4701	239.24274033249998	280.8778177	295.6862915875	0.9743951520374999	33.33092672	6.2266163795	356.035136	5.964863999999977	0.05772977794	0.02839816293	0.06750466901	0.03723138086	0.5618788481	0.04741173843	0.03046954227	0.1279050169	0.04143189366	4.010283523	4.0	0.0	0.0
3223	US-Ne2	16	2016	41.1649	-96.4701	245.370160075	282.8967730375	297.0245970625	0.9627822606125	31.17316810625	5.84062500025	356.035136	5.964863999999977	0.05040120963	0.02863386127	0.1061711255	0.04512169717	0.2912099067	0.1237990361	0.03516596087	0.2722508507	0.04720446925	5.266416385	4.0	0.0	0.0
3224	US-Ne2	16	2017	41.1649	-96.4701	266.796370125	284.63024421250003	299.411693925	1.25838709395	36.81821121	7.380280172625	356.035136	5.964863999999977	0.04581457425	0.02958376431	0.06517121165	0.02826613258	0.6077576666	0.0400121135	0.02934059564	0.1119697711	0.04204657165	4.0	4.0	0.0	0.0
3225	US-Ne2	16	2018	41.1649	-96.4701	251.949193225	284.3189457125	297.816536325	0.9121370917875	29.4872844825	5.562715517625	356.035136	5.964863999999977	0.04551037997	0.02858618465	0.05693006703	0.03012973591	0.4365549331	0.07009694839	0.03269986046	0.2552040936	0.04424871604	4.948056564	4.0	0.0	0.0
3226	US-Ne2	16	2019	41.1649	-96.4701	185.28951719	279.6032270625	290.854034175	0.5778629065125	31.03437499625	5.711099138375	356.035136	5.964863999999977	0.06986549264	0.02906634072	0.08965855292	0.07372793416	0.4111556321	0.05396170606	0.0321580136	0.1294934076	0.1108728522	4.375050962	4.0	0.0	0.0
