,index,NAME,result,year,0,1,2,3,4,5,6,7,8,9,10
20,20,Mono,"[{""change"":0,""sum"":7.818903509963028E9},{""change"":1,""sum"":208110.7787399292},{""change"":2,""sum"":118975.88206481934},{""change"":3,""sum"":440706.19049072266},{""change"":4,""sum"":1.3563460202461243E7},{""change"":5,""sum"":4605390.374794006},{""change"":6,""sum"":1474014.771888733},{""change"":7,""sum"":45525.891342163086},{""change"":8,""sum"":88600.7068939209},{""change"":9,""sum"":1.9875001243971252E8},{""change"":10,""sum"":7.33497877271576E7}]",2017,7818903509.963028,208110.7787399292,118975.88206481934,440706.19049072266,13563460.202461243,4605390.374794006,1474014.771888733,45525.891342163086,88600.7068939209,198750012.43971252,73349787.7271576
21,21,Monterey,"[{""change"":0,""sum"":7.990650731602013E9},{""change"":1,""sum"":3.717904536929321E7},{""change"":2,""sum"":3.4155523356959534E8},{""change"":3,""sum"":1424274.7322311401},{""change"":4,""sum"":3.6119313699905396E7},{""change"":5,""sum"":9.373921646282959E7},{""change"":6,""sum"":1.064946073272705E7},{""change"":7,""sum"":1370414.8145599365},{""change"":8,""sum"":252552.27152252197},{""change"":9,""sum"":3.986451660054016E7},{""change"":10,""sum"":3.123704752317047E7}]",2017,7990650731.602013,37179045.36929321,341555233.56959534,1424274.7322311401,36119313.699905396,93739216.46282959,10649460.73272705,1370414.8145599365,252552.27152252197,39864516.60054016,31237047.52317047
22,22,Napa,"[{""change"":0,""sum"":2.0139092989527435E9},{""change"":1,""sum"":1.0464220234161377E7},{""change"":2,""sum"":4573029.243423462},{""change"":3,""sum"":103173.1736907959},{""change"":4,""sum"":4335411.70816803},{""change"":5,""sum"":4832094.912071228},{""change"":6,""sum"":1101102.6068572998},{""change"":7,""sum"":985108.4220504761},{""change"":8,""sum"":50735.96862030029},{""change"":9,""sum"":718617.4101028442},{""change"":10,""sum"":1325350.2815551758}]",2017,2013909298.9527435,10464220.234161377,4573029.243423462,103173.1736907959,4335411.70816803,4832094.912071228,1101102.6068572998,985108.4220504761,50735.96862030029,718617.4101028442,1325350.2815551758
23,23,Nevada,"[{""change"":0,""sum"":2.5058987695817795E9},{""change"":1,""sum"":4935095.238494873},{""change"":2,""sum"":973652.9336776733},{""change"":4,""sum"":179425.42198181152},{""change"":5,""sum"":565517.7312927246},{""change"":6,""sum"":6255479.366325378},{""change"":7,""sum"":549280.0124893188},{""change"":9,""sum"":37983.083572387695},{""change"":10,""sum"":2731510.9833068848}]",2017,2505898769.5817795,4935095.238494873,973652.9336776733,,179425.42198181152,565517.7312927246,6255479.366325378,549280.0124893188,,37983.083572387695,2731510.9833068848
24,24,Placer,"[{""change"":0,""sum"":3.833769189403084E9},{""change"":1,""sum"":3.2748231288383484E7},{""change"":2,""sum"":8869179.793281555},{""change"":3,""sum"":15804.815650939941},{""change"":4,""sum"":5035813.879150391},{""change"":5,""sum"":1131336.2463531494},{""change"":6,""sum"":4359243.552742004},{""change"":7,""sum"":2317939.7117996216},{""change"":8,""sum"":2500.8435287475586},{""change"":9,""sum"":506718.7350997925},{""change"":10,""sum"":2060580.8162384033}]",2017,3833769189.403084,32748231.288383484,8869179.793281555,15804.815650939941,5035813.879150391,1131336.2463531494,4359243.552742004,2317939.7117996216,2500.8435287475586,506718.7350997925,2060580.8162384033
25,25,Plumas,"[{""change"":0,""sum"":6.752331936293915E9},{""change"":1,""sum"":1464361.2332229614},{""change"":2,""sum"":1093681.3731155396},{""change"":3,""sum"":220069.93685150146},{""change"":4,""sum"":787772.7822265625},{""change"":5,""sum"":4999224.379043579},{""change"":6,""sum"":2368662.644805908},{""change"":7,""sum"":353558.4366760254},{""change"":8,""sum"":188096.82759094238},{""change"":9,""sum"":879215.203666687},{""change"":10,""sum"":4128126.518371582}]",2017,6752331936.293915,1464361.2332229614,1093681.3731155396,220069.93685150146,787772.7822265625,4999224.379043579,2368662.644805908,353558.4366760254,188096.82759094238,879215.203666687,4128126.518371582
26,26,Sacramento,"[{""change"":0,""sum"":2.4711331127130814E9},{""change"":1,""sum"":1.902162500679016E7},{""change"":2,""sum"":1.2113337208938599E7},{""change"":3,""sum"":168659.8114013672},{""change"":4,""sum"":2.8237301631393433E7},{""change"":5,""sum"":2917556.6578674316},{""change"":6,""sum"":2089481.2081069946},{""change"":7,""sum"":3415174.328681946},{""change"":8,""sum"":16404.74104309082},{""change"":9,""sum"":5932210.773674011},{""change"":10,""sum"":1745246.2956085205}]",2017,2471133112.7130814,19021625.00679016,12113337.208938599,168659.8114013672,28237301.631393433,2917556.6578674316,2089481.2081069946,3415174.328681946,16404.74104309082,5932210.773674011,1745246.2956085205
27,27,San Benito,"[{""change"":0,""sum"":3.2779874623008957E9},{""change"":1,""sum"":2.8513962105651855E7},{""change"":2,""sum"":1.805957028695755E8},{""change"":3,""sum"":325910.6343612671},{""change"":4,""sum"":7973911.281089783},{""change"":5,""sum"":8.991985233882904E7},{""change"":6,""sum"":1001452.9556732178},{""change"":7,""sum"":732204.0137329102},{""change"":8,""sum"":19804.997901916504},{""change"":9,""sum"":9998590.271446228},{""change"":10,""sum"":4247829.883628845}]",2017,3277987462.3008957,28513962.105651855,180595702.8695755,325910.6343612671,7973911.281089783,89919852.33882904,1001452.9556732178,732204.0137329102,19804.997901916504,9998590.271446228,4247829.883628845
28,28,San Francisco,"[{""change"":0,""sum"":1.2082781832245636E8},{""change"":1,""sum"":765069.084892273},{""change"":2,""sum"":178432.6667327881},{""change"":3,""sum"":2101.6206665039062},{""change"":4,""sum"":100874.64028930664},{""change"":5,""sum"":105278.45761108398},{""change"":6,""sum"":168725.47011566162},{""change"":7,""sum"":18413.538047790527},{""change"":8,""sum"":100.07533264160156},{""change"":9,""sum"":40730.37111663818},{""change"":10,""sum"":94969.66678619385}]",2017,120827818.32245636,765069.084892273,178432.6667327881,2101.6206665039062,100874.64028930664,105278.45761108398,168725.47011566162,18413.538047790527,100.07533264160156,40730.37111663818,94969.66678619385
29,29,San Joaquin,"[{""change"":0,""sum"":3.500606738617592E9},{""change"":1,""sum"":3.626743321800232E7},{""change"":2,""sum"":6.129111805207825E7},{""change"":3,""sum"":326610.74198913574},{""change"":4,""sum"":4.550554556247711E7},{""change"":5,""sum"":1.5612328670669556E7},{""change"":6,""sum"":2639975.9266586304},{""change"":7,""sum"":1553060.4046020508},{""change"":8,""sum"":34210.65468597412},{""change"":9,""sum"":2.860676993875122E7},{""change"":10,""sum"":2284914.1035079956}]",2017,3500606738.617592,36267433.21800232,61291118.05207825,326610.74198913574,45505545.56247711,15612328.670669556,2639975.9266586304,1553060.4046020508,34210.65468597412,28606769.93875122,2284914.1035079956
